time,X,Y,Z,P,Q
0,5.025e-11,6e-07,7.236e-08,0,0
30,5.02832e-11,0.000453834,0.000249848,0,0
60,5.02939e-11,0.000343301,2.01936e-06,0,0
90,5.0345e-11,0.000158998,4.00942e-08,0,0
120,5.04569e-11,7.31498e-05,2.43328e-08,0,0
150,5.0702e-11,3.36499e-05,2.43077e-08,0,0
180,5.12431e-11,1.54793e-05,2.45297e-08,0,0
210,5.24603e-11,7.12033e-06,2.50291e-08,0,0
240,5.53177e-11,3.2746e-06,2.61903e-08,0,0
270,6.27674e-11,1.50418e-06,2.91448e-08,0,0
300,8.94312e-11,6.84556e-07,3.89237e-08,0,0
330,5.02947e-11,0.000337632,0.000395821,0,0
360,5.02909e-11,0.000368454,3.18518e-06,0,0
